 time            v(in)           v(out)          i(vdd)         
 3.02500000e-09  0.00000000e+00  3.28536346e+00 -6.71490880e-06 
 3.03500000e-09  0.00000000e+00  3.29437288e+00 -7.19839402e-07 
 3.04500000e-09  0.00000000e+00  3.29788419e+00 -1.80229259e-06 
 3.05500000e-09  0.00000000e+00  3.29915653e+00  5.71362544e-07 
 3.06500000e-09  0.00000000e+00  3.29971707e+00 -8.21941109e-07 
 3.07500000e-09  0.00000000e+00  3.29985155e+00  5.46896374e-07 
 3.08500000e-09  0.00000000e+00  3.29998362e+00 -5.03496771e-07 
 3.09500000e-09  0.00000000e+00  3.29995326e+00  3.97112664e-07 
 3.10500000e-09  0.00000000e+00  3.30002178e+00 -3.35472973e-07 
 3.11500000e-09  0.00000000e+00  3.29996926e+00  2.73712171e-07 
 3.12500000e-09  0.00000000e+00  3.30002689e+00 -2.27036229e-07 
 3.13500000e-09  0.00000000e+00  3.29997266e+00  1.86933848e-07 
 3.14500000e-09  0.00000000e+00  3.30002638e+00 -1.54727709e-07 
 3.15500000e-09  0.00000000e+00  3.29997451e+00  1.28035268e-07 
 3.16500000e-09  0.00000000e+00  3.30002477e+00 -1.06354217e-07 
 3.17500000e-09  0.00000000e+00  3.29997633e+00  8.85852071e-08 
 3.18500000e-09  0.00000000e+00  3.30002287e+00 -7.41695419e-08 
 3.19500000e-09  0.00000000e+00  3.29997821e+00  6.24339728e-08 
 3.20500000e-09  0.00000000e+00  3.30002093e+00 -5.29669843e-08 
 3.21500000e-09  0.00000000e+00  3.29998009e+00  4.53223073e-08 
 3.22500000e-09  0.00000000e+00  3.30001900e+00 -3.91634879e-08 
 3.23500000e-09  0.00000000e+00  3.29998188e+00  3.42888444e-08 
 3.24500000e-09  0.00000000e+00  3.30001719e+00 -3.04220000e-08 
 3.25500000e-09  0.00000000e+00  3.29998362e+00  2.73845074e-08 
 3.26500000e-09  0.00000000e+00  3.30001551e+00 -2.50383326e-08 
 3.27500000e-09  0.00000000e+00  3.29998525e+00  2.32344059e-08 
 3.28500000e-09  0.00000000e+00  3.30001396e+00 -2.18966528e-08 
 3.29500000e-09  0.00000000e+00  3.29998674e+00  2.09096853e-08 
 3.30500000e-09  0.00000000e+00  3.30001254e+00 -2.02344707e-08 
 3.31500000e-09  0.00000000e+00  3.29998811e+00  1.97809865e-08 
 3.32500000e-09  0.00000000e+00  3.30001124e+00 -1.95344609e-08 
 3.33500000e-09  0.00000000e+00  3.29998935e+00  1.94227666e-08 
 3.34500000e-09  0.00000000e+00  3.30001006e+00 -1.94473271e-08 
 3.35500000e-09  0.00000000e+00  3.29999047e+00  1.95484976e-08 
 3.36500000e-09  0.00000000e+00  3.30000900e+00 -1.97385024e-08 
